
27/3/2024 :: 12:57:27

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 12:59:3

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 13:0:5

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 15:10:35

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 16:43:25

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 16:47:11

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 16:48:38

id,management_experience,project_title;
501,10,DC;

27/3/2024 :: 16:48:48

id,management_experience,project_title;
501,10,DC;

28/3/2024 :: 11:18:59

id,management_experience,project_title;
121,2,Reatailer Price Prediction;

28/3/2024 :: 18:6:35

id,management_experience,project_title;
501,10,DC;

28/3/2024 :: 18:13:25

id,management_experience,project_title;
501,10,DC;

28/3/2024 :: 18:14:26

id,management_experience,project_title;
501,10,DC;

1/4/2024 :: 15:28:15

id,management_experience,project_title;
501,10,DC;

1/4/2024 :: 15:29:1

id,management_experience,project_title;
501,10,DC;

1/4/2024 :: 19:26:9

id,management_experience,project_title;
501,10,DC;
502,15, dgsfhgug g jks  ;

1/4/2024 :: 22:18:16

id,management_experience,project_title;
501,10,DC;
502,8, dgsfhgug g jks  ;

1/4/2024 :: 22:19:0

id,management_experience,project_title;
501,10,DC;
502,8, dgsfhgug g jks  ;

2/4/2024 :: 22:22:24

id,management_experience,project_title;
501,10,DC;
502,8, dgsfhgug g jks  ;

2/4/2024 :: 23:8:47

id,management_experience,project_title;
501,10,DC;
502,8, dgsfhgug g jks  ;

3/4/2024 :: 10:29:31

id,management_experience,project_title;
501,10,DC;
